feature,n_weak,n_strong,cohen_d,tstat,pval,abs_cohen
mfcc_4_std,12,20,-0.324887372095243,-0.9503261238510509,0.3500929282657931,0.324887372095243
secondary_peak_count,12,20,-0.32282694836062703,-0.9281428783989434,0.36160911620621555,0.32282694836062703
delta_mfcc_12_mean,12,20,0.32270768082010876,0.8385878527326708,0.41176636464207356,0.32270768082010876
zcr,12,20,0.322349703344919,0.9457745061413316,0.35231747525302254,0.322349703344919
delta_mfcc_3_std,12,20,0.3218602391917829,0.9660090637552184,0.34195301146185175,0.3218602391917829
delta_mfcc_10_mean,12,20,-0.30242096516120665,-0.8855250289768626,0.38341272001561505,0.30242096516120665
mfcc_5_std,12,20,0.2901843277141298,0.7871556275217042,0.4393643779380626,0.2901843277141298
delta_mfcc_11_mean,12,20,0.2853168665450986,0.8510829406654462,0.40169508586624847,0.2853168665450986
mfcc_6_mean,12,20,-0.28117957943021926,-0.7948657708855618,0.433990023479995,0.28117957943021926
mfcc_6_std,12,20,0.2785742651538326,0.754021796119692,0.45867084468150815,0.2785742651538326
mfcc_9_std,12,20,0.2749104522912007,0.872886245575997,0.38974469260279093,0.2749104522912007
delta_mfcc_9_mean,12,20,0.2671870630427155,0.8568312763426204,0.39850962776527055,0.2671870630427155
delta_mfcc_11_std,12,20,0.2663367448720077,0.7486936883407925,0.4609667282597103,0.2663367448720077
mfcc_7_mean,12,20,0.2613089539372534,0.7187514915531228,0.47934393839078865,0.2613089539372534
delta_mfcc_5_mean,12,20,-0.24364650483614583,-0.7381000335006369,0.4662640705811684,0.24364650483614583
spectral_flux_variance,12,20,0.24326239951658965,0.7047763306473975,0.4869098377274785,0.24326239951658965
delta_mfcc_1_std,12,20,0.19269158108527437,0.5998829198868477,0.5530896599614644,0.19269158108527437
mfcc_9_mean,12,20,-0.16446834520090867,-0.45220139076072846,0.6552542323705225,0.16446834520090867
mfcc_2_std,12,20,0.16421792688091538,0.4503136534597015,0.6566291136101455,0.16421792688091538
mfcc_2_mean,12,20,-0.16251883903720138,-0.5085353551906643,0.6148031549671528,0.16251883903720138
mfcc_10_std,12,20,0.16017112968792288,0.46198096423490476,0.647789623068003,0.16017112968792288
delta_mfcc_10_std,12,20,0.15637671417308688,0.4682902993462419,0.6430562688434814,0.15637671417308688
delta_mfcc_12_std,12,20,0.15590300631525836,0.4695652946490019,0.6421284827251724,0.15590300631525836
delta_mfcc_8_std,12,20,-0.15202099321034304,-0.4829727215697468,0.6326671664671919,0.15202099321034304
delta_mfcc_3_mean,12,20,0.14687418272611663,0.46462459684825397,0.6455839112785912,0.14687418272611663
mfcc_13_mean,12,20,0.1319485349703688,0.3836739609384079,0.7041621689327466,0.1319485349703688
delta_mfcc_7_mean,12,20,0.1319407591078947,0.3346263979573876,0.7417284412615306,0.1319407591078947
mfcc_4_mean,12,20,0.12969685140991769,0.3588562335795962,0.7228329175683601,0.12969685140991769
spectral_flatness,12,20,0.12038302194336004,0.34856991284819355,0.7300856607027372,0.12038302194336004
delta_mfcc_4_std,12,20,-0.11085051671688063,-0.3252082224078543,0.7474304394030908,0.11085051671688063
chroma_std,12,20,0.10725091039211573,0.297469125779321,0.7686432969910322,0.10725091039211573
modulation_energy,12,20,-0.1063956907230727,-0.3177113129419838,0.7529761098403718,0.1063956907230727
delta_mfcc_5_std,12,20,-0.0981449917610781,-0.2888719819564549,0.7747839051622623,0.0981449917610781
mfcc_7_std,12,20,0.09302163328038171,0.28270167723224393,0.7793664098804487,0.09302163328038171
delta_mfcc_13_std,12,20,0.09029430713972766,0.2854639743886417,0.77726631445941,0.09029430713972766
mfcc_3_mean,12,20,-0.08911662692253575,-0.2557231779177864,0.8001246843294805,0.08911662692253575
mfcc_8_std,12,20,0.08809370862031345,0.2678298366411961,0.790680904148154,0.08809370862031345
mfcc_10_mean,12,20,-0.08057583008803783,-0.22412716416385728,0.8245208499347602,0.08057583008803783
mfcc_11_mean,12,20,-0.06971114547911432,-0.1846117309018613,0.8553106632649838,0.06971114547911432
autocorrelation,12,20,-0.06886830873069953,-0.21044262979533473,0.8347529756282696,0.06886830873069953
mfcc_1_std,12,20,-0.060910090024023554,-0.17602261641575734,0.8615812970704034,0.060910090024023554
delta_mfcc_13_mean,12,20,0.05867138073284606,0.15477771332137877,0.8784979068375923,0.05867138073284606
delta_mfcc_6_std,12,20,0.05623470958976928,0.1618607219074941,0.8726249215613229,0.05623470958976928
delta_mfcc_4_mean,12,20,-0.049330954324690465,-0.14846553464752,0.8829896613255042,0.049330954324690465
mfcc_8_mean,12,20,0.04916925604538305,0.14216195153335165,0.8879995677923068,0.04916925604538305
spectral_bandwidth,12,20,-0.04802554250717057,-0.15438659505459218,0.8783705326555675,0.04802554250717057
delta_mfcc_7_std,12,20,0.04674382259757994,0.14164809717575896,0.8883171024489807,0.04674382259757994
mfcc_12_mean,12,20,-0.044118646060835834,-0.12964206485342594,0.8977693127707113,0.044118646060835834
delta_mfcc_6_mean,12,20,0.04042393394954316,0.12227183519872795,0.9035112549674036,0.04042393394954316
spectral_centroid,12,20,-0.01843608709483703,-0.057206896255461555,0.9547597213691613,0.01843608709483703
delta_mfcc_2_std,12,20,0.0182098478318066,0.057383533415820295,0.9546222637184019,0.0182098478318066
spectral_rolloff,12,20,0.01482640497181122,0.04408017394987884,0.965144213814004,0.01482640497181122
temporal_centroid,12,20,-0.01427611538800383,-0.038522987083640305,0.9696144918215642,0.01427611538800383
delta_mfcc_9_std,12,20,0.01376935519695649,0.042152569255347744,0.9666575967327998,0.01376935519695649
