category,feature,mean_clean,mean_category,cohen_d,tstat,pval,abs_cohen,spearman_rho,n_samples,n_weak,n_strong
space,spectral_flatness,,,0.45476506543976325,0.9716893832270309,0.35456844332089443,0.45476506543976325,,,4.0,8.0
space,secondary_peak_count,,,-0.38558551105795386,-0.6138254262256502,0.5629453947839732,0.38558551105795386,,,4.0,8.0
space,crest_factor,,,0.30233103953387,0.525397144985937,0.6151121493596637,0.30233103953387,,,4.0,8.0
space,temporal_centroid,,,-0.09419091226290413,-0.14502074137046314,0.8900770337679548,0.09419091226290413,,,4.0,8.0
space,post_onset_energy_ratio,,,-0.04315720444308786,-0.08874397146978029,0.9310386465504265,0.04315720444308786,,,4.0,8.0
phase,amplitude_modulation,,,-1.8444228491406394,-4.172495524675984,0.00270353915962026,1.8444228491406394,,,4.0,8.0
phase,rms,,,-1.7547940535857247,-3.5104360949766793,0.005790794810665046,1.7547940535857247,,,4.0,8.0
phase,harmonic_ratio,,,1.647851091682218,3.0216576488448452,0.015864366399213077,1.647851091682218,,,4.0,8.0
phase,inter_peak_interval_variance,,,1.3600746501232532,1.5676079509117888,0.20982338787809024,1.3600746501232532,,,4.0,8.0
phase,spectral_flux,,,-1.1112135959010552,-2.0638910812585762,0.07067293189158472,1.1112135959010552,,,4.0,8.0
phase,crest_factor,,,0.799307289928225,1.2624423135117762,0.2567685343830668,0.799307289928225,,,4.0,8.0
phase,spectral_flux_variance,,,0.44905941504676966,0.656739009764602,0.54213213915811,0.44905941504676966,,,4.0,8.0
phase,sustain_ratio,,,0.4269132499992221,0.6293552803677374,0.5579570976850179,0.4269132499992221,,,4.0,8.0
phase,centroid_modulation_depth,,,0.3923852218948739,0.6724544333794003,0.5230847067672673,0.3923852218948739,,,4.0,8.0
phase,spectral_bandwidth,,,0.3756266009176535,0.6441997436643867,0.5401435055990069,0.3756266009176535,,,4.0,8.0
phase,modulation_energy,,,-0.35712984954032356,-0.5586743758106073,0.5984649113016282,0.35712984954032356,,,4.0,8.0
phase,spectral_centroid,,,0.32271049325660817,0.5023385302037959,0.6352067065654807,0.32271049325660817,,,4.0,8.0
phase,autocorrelation,,,-0.3223894640670473,-0.43277571907479145,0.6875775728956826,0.3223894640670473,,,4.0,8.0
phase,spectral_flatness,,,0.3143181744704184,0.5019855552086727,0.6342779700447936,0.3143181744704184,,,4.0,8.0
phase,secondary_peak_count,,,-0.23135398328411869,-0.4645434068276544,0.6523558892374258,0.23135398328411869,,,4.0,8.0
phase,spectral_rolloff,,,0.22012228532365186,0.3548009888763141,0.7350825206059843,0.22012228532365186,,,4.0,8.0
phase,post_onset_energy_ratio,,,-0.10720632486776588,-0.20447334691529512,0.8424940157646197,0.10720632486776588,,,4.0,8.0
phase,zcr,,,-0.07699107468396124,-0.12387672605057796,0.9055453278446041,0.07699107468396124,,,4.0,8.0
phase,energy_decay,,,0.013302361169926445,0.02164894884528935,0.983425063124655,0.013302361169926445,,,4.0,8.0
phase,temporal_centroid,,,-0.010861957717646888,-0.017351955121799593,0.9867406382800067,0.010861957717646888,,,4.0,8.0
